Date,Close
2020-02-14,9731.18
2020-02-18,9732.74
2020-02-19,9817.18
2020-02-20,9750.97
2020-02-21,9576.59
2020-02-24,9221.28
2020-02-25,8965.61
2020-02-26,8980.77
2020-02-27,8566.48
2020-02-28,8567.37
2020-03-02,8952.17
2020-03-03,8684.09
2020-03-04,9018.09
2020-03-05,8738.59
2020-03-06,8575.62
2020-03-09,7950.68
2020-03-10,8344.25
2020-03-11,7952.05
2020-03-12,7201.8
2020-03-13,7874.88
2020-03-16,6904.59
2020-03-17,7334.78
2020-03-18,6989.84
2020-03-19,7150.58
2020-03-20,6879.52
2020-03-23,6860.67
2020-03-24,7417.86
2020-03-25,7384.29
2020-03-26,7797.54
2020-03-27,7502.38
2020-03-30,7774.15
2020-03-31,7700.1
2020-04-01,7360.58
2020-04-02,7487.31
2020-04-03,7373.08
2020-04-06,7913.24
2020-04-07,7887.26
2020-04-08,8090.9
2020-04-09,8153.58
2020-04-13,8192.42
2020-04-14,8515.74
2020-04-15,8393.18
2020-04-16,8532.36
2020-04-17,8650.14
2020-04-20,8560.73
2020-04-21,8263.23
2020-04-22,8495.38
2020-04-23,8494.75
2020-04-24,8634.52
2020-04-27,8730.16
2020-04-28,8607.73
2020-04-29,8914.71
2020-04-30,8889.55
2020-05-01,8604.95
2020-05-04,8710.71
2020-05-05,8809.12
2020-05-06,8854.39
2020-05-07,8979.66
2020-05-08,9121.32
2020-05-11,9192.34
2020-05-12,9002.55
2020-05-13,8863.17
2020-05-14,8943.72
2020-05-15,9014.56
2020-05-18,9234.83
2020-05-19,9185.1
2020-05-20,9375.78
2020-05-21,9284.88
2020-05-22,9324.59
2020-05-26,9340.22
2020-05-27,9412.36
2020-05-28,9368.99
2020-05-29,9489.87
2020-06-01,9552.05
2020-06-02,9608.38
2020-06-03,9682.91
2020-06-04,9615.81
2020-06-05,9814.08
2020-06-08,9924.75
2020-06-09,9953.75
2020-06-10,10020.35
2020-06-11,9492.73
2020-06-12,9588.81
2020-06-15,9726.02
2020-06-16,9895.87
2020-06-17,9910.53
2020-06-18,9943.05
2020-06-19,9946.12
2020-06-22,10056.47
2020-06-23,10131.37
2020-06-24,9909.17
2020-06-25,10017.0
2020-06-26,9757.22
2020-06-29,9874.15
2020-06-30,10058.76
2020-07-01,10154.63
2020-07-02,10207.63
2020-07-06,10433.65
2020-07-07,10343.89
2020-07-08,10492.5
2020-07-09,10547.75
2020-07-10,10617.44
2020-07-13,10390.84
2020-07-14,10488.58
2020-07-15,10550.49
2020-07-16,10473.83
2020-07-17,10503.19
2020-07-20,10767.09
2020-07-21,10680.36
2020-07-22,10706.13
